concept_a,concept_b,Course_Code,course_name,source_syllabus,ai_suggested_label,confirmed_label,reason,embedding_similarity,order_delta,keyword_overlap
Introduction to Congruence,Dirichlet’s conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=3, kw=0.000",0.1547,3,0.0
Basic and Feasible solutions,Introduction to Congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.133 - no semantic relation,0.1335,4,0.0
Kuhn-Tucker conditions,Linear congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.039 - no semantic relation,-0.0388,2,0.0
Decision properties of RLs,Application of Regular,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=3, kw=0.167",0.1588,3,0.16666666666666666
Equivalence between NFA with and ϵ- transitions,Minimization of DFA,2114111,Computational,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.419,0.4193,1,0.0
Basic and Feasible solutions,Linear congruence,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=5, kw=0.000",0.1608,5,0.0
Study – Selenium/ Jira,Source Tools in DevOps,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.157, delta=7, kw=0.000",0.1566,7,0.0
Fluidization: conditions for fluidization,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.238, delta=3, kw=0.000",0.2382,3,0.0
Standard and Canonical of LPP,Fourier series of periodic,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.022 - no semantic relation,-0.0222,9,0.125
Kuhn-Tucker conditions,Moment generating function,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.026 - no semantic relation,0.0264,9,0.0
Types of solutions,Dirichlet’s conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.198, delta=9, kw=0.000",0.1982,9,0.0
Corrector Method to chemical engineering,Shift operator E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.050 - no semantic relation,0.0501,2,0.0
"Automation, Test Automation Pyramid. Case","Agility, DevOps and Continuous Testing",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.388, delta=5, kw=0.000",0.388,5,0.0
Decision properties of RLs,Application of Regular,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=3, kw=0.167",0.1588,3,0.16666666666666666
Super-Simple,Applications and variants,2166115,Nature- Inspired Optimization,SEM-V.pdf,0,,Low sim=0.115 - no semantic relation,0.1153,3,0.0
Structure of a switch,Scheduled Access (Reservation,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=-0.013 - no semantic relation,-0.0133,9,0.0
Similarity of matrices,Standard and Canonical of LPP,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.027 - no semantic relation,0.0275,4,0.14285714285714285
Quadratic forms,Linear and Non-Linear Programming Problems,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=1, kw=0.000",0.161,1,0.0
Basic and Feasible solutions,Fourier series of even and odd functions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.058 - no semantic relation,-0.0582,9,0.1
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.152, delta=7, kw=0.000",0.1524,7,0.0
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.247, delta=6, kw=0.000",0.2473,6,0.0
Pumping lemma for RLs,Nondeterministic Finite Automata (NFA): Definitions,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.162, delta=4, kw=0.000",0.1616,4,0.0
Solid fluid,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.358, delta=4, kw=0.000",0.3577,4,0.0
Properties of Eigen,Forward and Backward difference operators ∆,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.164, delta=9, kw=0.000",0.1639,9,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.169, delta=5, kw=0.143",0.1691,5,0.14285714285714285
Data Link Layer Data Link Control:  Framing ,Link Layer Addressing,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.532, delta=9, kw=0.333",0.5324,9,0.3333333333333333
Study – Selenium/ Jira,"Agility, DevOps and Continuous Testing",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.194, delta=4, kw=0.000",0.1944,4,0.0
Basic and Feasible solutions,Lines of regression,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.157, delta=11, kw=0.000",0.1566,11,0.0
Arden's theorem,Nondeterministic Finite Automata (NFA): Definitions,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.074 - no semantic relation,0.074,6,0.0
Basic and Feasible solutions,Linear congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=5, kw=0.000",0.1608,5,0.0
"ERC721 Tokens, ICO: basics and related terms",Cryptocurrency Valuation Models,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.199, delta=5, kw=0.000",0.1985,5,0.0
"Integrity constraints: key constraints, Domain","Pitfalls in relational database designs, Concept",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.356,0.3556,2,0.0
Quadratic forms,Application of congruence-RSA algorithm,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.116 - no semantic relation,0.1161,10,0.0
"Hammer mill, Ball mill and Roll crusher",Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.054 - no semantic relation,0.0543,6,0.0
Fourier series of even and odd functions,Complex form of Fourier Series,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,High sim=0.631 + delta=1,0.6314,1,0.3333333333333333
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,sim=0.575>=0.45 + delta=3<=5,0.575,3,0.125
Determining risk,"Counting Pigeonhole Principle, Inclusion-Exclusion Principle. Recurrence relations, Solving recurrence relations",2493112,Discrete Structures and Graph Theory,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=-0.042 - no semantic relation,-0.0421,3,0.0
RE in text search and replace,Equivalence between NFA with and ϵ- transitions,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=0.034 - no semantic relation,0.0344,4,0.08333333333333333
Decision properties of RLs,Nondeterministic Finite Automata (NFA): Definitions,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.249, delta=5, kw=0.000",0.2488,5,0.0
Standard and Canonical of LPP,Artificial variables,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.160, delta=3, kw=0.000",0.1601,3,0.0
"Integrity constraints: key constraints, Domain","Cloud Database, Introduction of Distributed",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=4, kw=0.000",0.1594,4,0.0
Regular operations,Minimization of DFA,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.233, delta=9, kw=0.000",0.2333,9,0.0
Mixing equipment for cohesive solids,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.152, delta=6, kw=0.000",0.1518,6,0.0
Screening equipment – Vibrating screen,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.133 - no semantic relation,0.1332,13,0.125
Linear congruence,Complex form of Fourier Series,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.074 - no semantic relation,0.0738,5,0.0
Quadratic forms,Simplex method,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.179, delta=5, kw=0.000",0.1793,5,0.0
"EER Model to the Relational Model, Relational","Cloud Database, Introduction of Distributed",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=6, kw=0.000",0.217,6,0.0
Cayley-Hamilton,Application of congruence-RSA algorithm,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.089 - no semantic relation,0.0894,13,0.0
Dirichlet’s conditions,Fourier series of even and odd functions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.151, delta=2, kw=0.000",0.1507,2,0.0
Relationship (EER) Model,"Triggers, Introduction to Pl/SQL Block Structure",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.130 - no semantic relation,0.1301,6,0.0
Application of congruence-RSA algorithm,Fourier series of periodic,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.162, delta=2, kw=0.125",0.1624,2,0.125
Similarity of matrices,Kuhn-Tucker conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.060 - no semantic relation,0.0595,8,0.0
Special-purpose,Fundamentals of Distributed Operating System,2014113,Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.175, delta=2, kw=0.000",0.1752,2,0.0
Grizzlies and Trommels,Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.063 - no semantic relation,-0.063,5,0.0
Standard and Canonical of LPP,Dirichlet’s conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.086 - no semantic relation,0.0865,8,0.0
"Introduction to the Relational Model, relational","Triggers, Introduction to Pl/SQL Block Structure",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.222, delta=4, kw=0.200",0.2218,4,0.2
"Concurrent Executions, Serializability","Cloud Database, Introduction of Distributed",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.207,0.2068,1,0.0
Simplex method,Lines of regression,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.104 - no semantic relation,0.1042,10,0.0
Types of solutions,Kuhn-Tucker conditions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=5, kw=0.000",0.1889,5,0.0
"Postman, and JMeter",Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.212, delta=5, kw=0.000",0.2123,5,0.0
Types of solutions,Basic and Feasible solutions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,sim=0.479>=0.45 + delta=2<=5,0.479,2,0.16666666666666666
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.202, delta=3, kw=0.143",0.2021,3,0.14285714285714285
Structure of a switch,10-Gigabit Ethernet,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,delta=12>=12 + sim=0.195<0.45 - far + weakly related,0.1952,12,0.0
Types of solutions,Fourier series of even and odd functions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.034 - no semantic relation,0.0343,11,0.1111111111111111
Quadratic forms,Kuhn-Tucker conditions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.200, delta=7, kw=0.000",0.2002,7,0.0
Application of congruence-RSA algorithm,Complex form of Fourier Series,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.112 - no semantic relation,0.1121,4,0.1111111111111111
"Metaverse, Cryptocurrency wallets: Hot and cold",Models on Blockchain: decentralized AI,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.252, delta=6, kw=0.000",0.2515,6,0.0
Kuhn-Tucker conditions,Application of congruence-RSA algorithm,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.048 - no semantic relation,-0.0484,3,0.0
Decision properties of RLs,Equivalence between NFA with and ϵ- transitions,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=6, kw=0.000",0.1531,6,0.0
Fourier series of periodic,Lines of regression,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=-0.003 - no semantic relation,-0.0031,3,0.16666666666666666
Standard and Canonical of LPP,Linear congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.169, delta=6, kw=0.000",0.1686,6,0.0
Flow of a single fluid through a packed bed,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.178, delta=4, kw=0.000",0.1778,4,0.0
"Introduction to the Relational Model, relational","Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.117 - no semantic relation,0.1168,6,0.0
Linear congruence,Fourier series of periodic,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.197, delta=3, kw=0.000",0.1968,3,0.0
Application of congruence-RSA algorithm,Moment generating function,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=6, kw=0.000",0.1798,6,0.0
Medium Access Control,10-Gigabit Ethernet,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=4, kw=0.000",0.1796,4,0.0
Quadratic forms,Fourier series of even and odd functions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.047 - no semantic relation,0.0468,13,0.0
"Optimization, Particle Swarm Optimizer , ABC",Algorithm  Bat Algorithm,2166111,Machine Learning and Swarm,SEM-V.pdf,1,,sim=0.499>=0.45 + delta=1<=5,0.4988,1,0.0
Screening equipment – Vibrating screen,Size reduction equipment – Jaw crusher,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.222, delta=3, kw=0.125",0.2219,3,0.125
Selection of Scheduling,Features of I/O facility for different OS,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.214, delta=4, kw=0.100",0.2145,4,0.1
Quadratic forms,Artificial variables,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=6, kw=0.000",0.1713,6,0.0
Solid mixing – Introduction to solid mixing,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.409, delta=9, kw=0.000",0.4094,9,0.0
Application of congruence-RSA algorithm,Moment generating function,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=6, kw=0.000",0.1798,6,0.0
Decision properties of RLs,Application of Regular,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=3, kw=0.167",0.1588,3,0.16666666666666666
Quadratic forms,Kuhn-Tucker conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.200, delta=7, kw=0.000",0.2002,7,0.0
Arden's theorem,Application of Regular,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.248, delta=4, kw=0.000",0.2475,4,0.0
Decision properties of RLs,Equivalence between NFA with and ϵ- transitions,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=6, kw=0.000",0.1531,6,0.0
"ERC721 Tokens, ICO: basics and related terms","Blockchain, UTXO and double spending problem",2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.184, delta=2, kw=0.083",0.1835,2,0.08333333333333333
Quadratic forms,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.282, delta=9, kw=0.000",0.2821,9,0.0
Fourier series of even and odd functions,Moment generating function,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.176, delta=3, kw=0.000",0.1755,3,0.0
Basic and Feasible solutions,Application of congruence-RSA algorithm,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=6, kw=0.000",0.1536,6,0.0
Data Link Layer Data Link Control:  Framing ,Linear Block Code,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=1, kw=0.000",0.1546,1,0.0
Space Division Switching,10-Gigabit Ethernet,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.163, delta=11, kw=0.000",0.1628,11,0.0
Kuhn-Tucker conditions,Dirichlet’s conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.417, delta=4, kw=0.200",0.4166,4,0.2
Types of solutions,Moment generating function,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.011 - no semantic relation,0.0109,14,0.0
Similarity of matrices,Linear congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=10, kw=0.000",0.1671,10,0.0
"EER Model to the Relational Model, Relational","Triggers, Introduction to Pl/SQL Block Structure",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.235, delta=3, kw=0.091",0.235,3,0.09090909090909091
Real-Time,Special-purpose Operating Systems,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.304,0.3042,2,0.0
Quadratic forms,Artificial variables,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=6, kw=0.000",0.1713,6,0.0
Application of Regular,Minimization of DFA,2114111,Computational,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.289, delta=4, kw=0.200",0.289,4,0.2
Arden's theorem,Decision properties of RLs,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.096 - no semantic relation,0.0956,1,0.0
"Metaverse, Cryptocurrency wallets: Hot and cold",Cryptocurrency Valuation Models,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.402, delta=4, kw=0.125",0.4022,4,0.125
"Generalization, Specialization and Aggregation","Triggers, Introduction to Pl/SQL Block Structure",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=5, kw=0.000",0.2173,5,0.0
Cayley-Hamilton,Types of solutions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.069 - no semantic relation,0.0693,5,0.0
Similarity of matrices,Linear congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=10, kw=0.000",0.1671,10,0.0
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.250,0.2497,2,0.1111111111111111
Equivalence between NFA with and ϵ- transitions,Minimization of DFA,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.419,0.4193,1,0.0
Decision properties of RLs,Minimization of DFA,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=7, kw=0.167",0.1913,7,0.16666666666666666
"Pitfalls in relational database designs, Concept","Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.184, delta=1, kw=0.000",0.1842,1,0.0
Linear and Non-Linear Programming Problems,Simplex method,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.223, delta=4, kw=0.000",0.2234,4,0.0
Network Operating System,Special-purpose Operating Systems,2014113,Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,High sim=0.608 + delta=3,0.6075,3,0.16666666666666666
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=7, kw=0.000",0.2046,7,0.0
Propositional and Predicate Logic,"Counting Pigeonhole Principle, Inclusion-Exclusion Principle. Recurrence relations, Solving recurrence relations",2023112,Discrete Structures and Graph,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.089 - no semantic relation,0.0888,4,0.0
"EER Model to the Relational Model, Relational","Triggers, Introduction to Pl/SQL Block Structure",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.235, delta=3, kw=0.091",0.235,3,0.09090909090909091
Solid fluid,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=1, kw=0.000",0.1672,1,0.0
Decision properties of RLs,Equivalence between NFA with and ϵ- transitions,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=6, kw=0.000",0.1531,6,0.0
Application of congruence-RSA algorithm,Moment generating function,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=6, kw=0.000",0.1798,6,0.0
"Testing: Functionality Testing, UI Testing","DevOps: Introduction, DevOps - Importance",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.223, delta=5, kw=0.000",0.2233,5,0.0
Quadratic forms,Simplex method,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.179, delta=5, kw=0.000",0.1793,5,0.0
Dirichlet’s conditions,Fourier series of periodic,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=1, kw=0.000",0.1715,1,0.0
Taxes and tax brackets,"Counting Pigeonhole Principle, Inclusion-Exclusion Principle. Recurrence relations, Solving recurrence relations",2173112,Discrete Structures and Graph Theory,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.115 - no semantic relation,0.115,2,0.0
Edge Systems: Application in feature selection,Edge resource optimization,2166115,Nature- Inspired Optimization,SEM-V.pdf,1,,sim=0.577>=0.45 + delta=1<=5,0.5775,1,0.125
"ERC721 Tokens, ICO: basics and related terms",Models on Blockchain: decentralized AI,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.188, delta=7, kw=0.000",0.1884,7,0.0
Languages in Compiler Design,Minimization of DFA,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=0.146 - no semantic relation,0.146,3,0.0
Size reduction equipment – Jaw crusher,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.020 - no semantic relation,0.02,8,0.0
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=7, kw=0.000",0.2046,7,0.0
Linear and Non-Linear Programming Problems,Dirichlet’s conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.043 - no semantic relation,0.0428,10,0.0
Quadratic forms,Artificial variables,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=6, kw=0.000",0.1713,6,0.0
