concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
diagonalizable and non,slack variables,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0449,7,1,0.0,0,person_name,person_name; truncated_fragment; subject_mismatch
"Cryptocurrency basics, types, usage, ERC20 and","platforms, STO, Different Crypto currencies, Defi",2166118,Blockchain,SEM-V.pdf,0.5428,3,1,0.0,1,truncated_fragment,truncated_fragment
Duration: 2 Hours,Max. Marks,2165113,Agile Software,SEM-V.pdf,0.1765,1,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Q1: How can AI be integrated with blockchain for fraud detection?,Semester GPA/ Programme,2166126,Blockchain,SEM-V.pdf,-0.0626,7,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Report should be prepared as per the guidelines issued by the University of Mumbai,a. Library Management System,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1328,6,1,0.0,0,publisher_citation,publisher_citation; lab_or_project_course
navigating directories,Self-learning Topics: Various Network Performance,2166124,Edge Computing,SEM-V.pdf,0.1532,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise; subject_mismatch
Q2: Compare two blockchain platforms of your choice in terms of features and,Assignment 2  ( Any two Questions from each Unit),2166126,Blockchain,SEM-V.pdf,0.1374,6,1,0.0526,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Semester GPA/ Programme,Faculty of Science & Technology,2166126,Blockchain,SEM-V.pdf,0.2744,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise
diagonalizable and non,diagonalizable matrices,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.8077,1,1,0.25,1,person_name,person_name; truncated_fragment; subject_mismatch
materials/tree/editions/1.0,"to students for C, C++, JAVA along with how to",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.115,5,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Python program for communication between clients based on,MQTT.(using paho library),2166121,Internet of Things,SEM-V.pdf,0.2437,1,1,0.0,1,truncated_fragment,truncated_fragment; tool_fragment
and ARIMA concepts,Fitting ARIMA models,2166120,Visualization Lab,SEM-V.pdf,0.5701,1,1,0.2,1,person_name,person_name; truncated_fragment; lab_or_project_course
"Pre-Requisite Topics Basic Concepts: HTML5, CSS3; JavaScript, Client-Server paradigm, Front-end and Back-end development",Self-learning Topics: API Gateway concept,2165114,Web and,SEM-V.pdf,0.3213,8,1,0.0476,1,admin_rubric_noise,admin_rubric_noise
"Use classes for Books, Users, Transactions","Classes: Customer, MenuItem, Order, Restaurant",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5276,4,1,0.1,1,person_name,person_name; lab_or_project_course
value chain,Teaching Scheme,2166112,Data Analytics,SEM-V.pdf,0.1951,3,1,0.0,0,person_name,person_name; admin_rubric_noise
"Compare cloud service models (IaaS, PaaS, SaaS) in the context of IoT analytics and",Smart Agriculture (Irrigation or Environmental Monitoring),2166121,Internet of Things,SEM-V.pdf,0.3077,7,1,0.0,0,truncated_fragment,truncated_fragment
repeated and non-repeated ranks),Normal Distribution,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0958,7,1,0.0,0,person_name,person_name; truncated_fragment
Project structure overview: pom.xml,application. Properties,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2645,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Q3: Give one example of a real,world application where AI,2166126,Blockchain,SEM-V.pdf,0.1457,1,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Emerging trends,learning Topics: Case Studies on AI in,2166118,Blockchain,SEM-V.pdf,0.2941,14,1,0.0,0,generic_lone_term,generic_lone_term; truncated_fragment
"Case study: AI for transaction validation, fraud","Chandramouli Subramanian, Asha A. Georgeet al., “Blockchain Technology”, Universities",2166118,Blockchain,SEM-V.pdf,0.2249,10,1,0.0,0,publisher_citation,publisher_citation
Dr. Subhash K. Shinde,Computer Engineering,2166126,Blockchain,SEM-V.pdf,0.1058,1,1,0.0,0,publisher_citation,publisher_citation; person_name
Data types,Introduction to OOP- Basic of,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3513,2,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Event listeners for button presses,"Term Work: Term Work shall consist of list of all practicals’ based on the above list. Also, the Term work Journal must",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0499,5,1,0.0,0,length_bound,length_bound; publisher_citation; admin_rubric_noise; lab_or_project_course
a. Family Tree Generator (Prolog),Paradigm Approach,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1638,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Immutable data structures,a. Family Tree Generator (Prolog),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.232,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Special-purpose,Network Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1191,4,1,0.0,0,truncated_fragment,truncated_fragment
Scheduling Algorithms,Self-learning Topics: File System for Linux and,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1743,10,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Computer Engineering,Faculty of Technology,2166126,Blockchain,SEM-V.pdf,0.4441,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
repeated ranks) Lines of regression Fitting of first- and,"study topics. However, students are",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0699,11,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
modelling Creating new features from existing data,Feature importance and dimensionality reduction overview,2166120,Visualization Lab,SEM-V.pdf,0.2668,1,1,0.0,1,person_name,person_name; lab_or_project_course
missing values and duplicates Data normalization and,Extension of simple linear,2166120,Visualization Lab,SEM-V.pdf,0.1265,12,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
learning Topics: Complex form of Fourier Series,"polar coordinates, conformal mapping, linear, bilinear",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1549,10,1,0.0,0,subject_mismatch,subject_mismatch
integer values and find space and time complexity,Implement solution for a 0-1 knapsack problem using,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2579,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Work (PoW) consensus algorithm,Q1: What are the differences between ERC,2166126,Blockchain,SEM-V.pdf,-0.0005,11,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Q2: What is the role of MSPs in Hyperledger Fabric?,"enabled smart contracts, and how do they enhance automation?",2166126,Blockchain,SEM-V.pdf,0.2085,8,1,0.0,0,admin_rubric_noise,admin_rubric_noise
o Identification of need/problem,Clarity of Problem definition based on need,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5347,11,1,0.3333,0,lab_or_project_course,lab_or_project_course
Learning and,"Linear Algebra, Vectors, Probability and statistics, Programming Concepts",2166111,Machine,SEM-V.pdf,0.2286,1,1,0.1111,1,truncated_fragment,truncated_fragment; publisher_citation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Basic and Feasible solutions,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1148,8,1,0.0714,0,person_name,person_name
Types of data: structured,Concept of features and importance in predictive,2166120,Visualization Lab,SEM-V.pdf,0.1973,10,1,0.1,0,lab_or_project_course,lab_or_project_course
consensus mechanisms,Q2: List the basic components of a Solidity smart contract,2166126,Blockchain,SEM-V.pdf,0.0411,3,1,0.0,0,admin_rubric_noise,admin_rubric_noise
experience of more than five years approved by head of Institution,Students shall be motivated to publish a paper based on the work in Conferences/students competitions,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0394,1,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise; subject_mismatch; lab_or_project_course
"Smart Contracts” ,Packt Publishing","Depth: Learn, Build and Deploy Blockchain",2166118,Blockchain,SEM-V.pdf,0.3606,2,1,0.0,1,publisher_citation,publisher_citation
natural numbers that use a predefined add function,Students must be able to learn to query it and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0211,14,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
Self-learning Topics: Count-to-Infinity,Self-learning Topics: Demonstration of,2165116,Computer,SEM-V.pdf,0.8272,2,1,0.375,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Extension of simple linear,EDA and feature exploration,2166120,Visualization Lab,SEM-V.pdf,-0.0371,7,1,0.0,0,person_name,person_name; subject_mismatch; lab_or_project_course
"only, piecewise continuous function not to be included)",Thomson method to determine analytic function,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0885,7,1,0.1667,0,truncated_fragment,truncated_fragment; publisher_citation; subject_mismatch
"Agility, DevOps and Continuous Testing","based DevOps tools, and real",2165113,Agile Software,SEM-V.pdf,0.6457,6,1,0.25,1,truncated_fragment,truncated_fragment
Basic and Feasible solutions,three variables) using the method of Lagrange’s,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2981,5,1,0.0,1,person_name,person_name; publisher_citation; truncated_fragment
Controller: Request,Spring Boot: Modern development trends. MVC in Java Web,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2037,2,1,0.0,1,lab_or_project_course,lab_or_project_course
Data Link Layer Data Link Control:  Framing ,Reject ARQ (Simple Problems),2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0089,10,1,0.0,0,subject_mismatch,subject_mismatch
"Use map, reduce, filter extensively",a. Family Tree Generator (Prolog),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1068,13,1,0.0,0,lab_or_project_course,lab_or_project_course
List of Sample Capstone Mini,a. Weather Data Analyzer (Haskell / Python with functools),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0391,12,1,0.0,0,lab_or_project_course,lab_or_project_course
Introduction to Congruence,Dirichlet’s conditions,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1547,8,1,0.0,0,publisher_citation,publisher_citation
Spring Initializr,Get Mapping,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1069,11,1,0.0,0,person_name,person_name; lab_or_project_course
Self-Learning: Overview of Progressive Web,Self-learning Topics: API Gateway concept,2165114,Web and,SEM-V.pdf,0.5016,7,1,0.2,1,admin_rubric_noise,admin_rubric_noise
"learning Topics: Covariance, fitting of exponential","Expectation of random variable with mean, variance and",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1199,2,1,0.0769,0,truncated_fragment,truncated_fragment
Read weather data and apply pure functions for analysis,Recursion instead of loops,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0321,5,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
descriptive analytics and sampling distribution,for Data Scientists”,2165111,Statistics for,SEM-V.pdf,0.3339,3,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Operating Systems,Fundamentals of Distributed Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.7219,2,1,0.1667,1,generic_lone_term,generic_lone_term
"Fi) communication technologies based on range, power, and topology",with a suitable example for each,2166121,Internet of Things,SEM-V.pdf,0.119,8,1,0.0,0,truncated_fragment,truncated_fragment
Supervised Learning,Self-Learning : Semi-Supervised and Active,2166111,Machine,SEM-V.pdf,0.6208,1,1,0.3333,1,admin_rubric_noise,admin_rubric_noise
Advanced Data Structures,integers and perform Pre-order,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2102,2,1,0.0,1,person_name,person_name; lab_or_project_course
Letter Grade Result,Faculty of Technology,2166126,Blockchain,SEM-V.pdf,0.1628,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Events for light changes,Term Work Marks: 50 Marks (Total marks) = 10 Marks (Experiment) + 5 Marks (Assignments) + 30 Marks (Capstone,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0972,5,1,0.0,0,length_bound,length_bound; admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
Operating Systems,Open-source and Proprietary Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.6875,1,1,0.1429,1,generic_lone_term,generic_lone_term
3 Case Studies & Applications: MOEAs in feature,Evolution Strategies and Evolutionary Programming,2166115,Nature-,SEM-V.pdf,0.2573,3,1,0.0,0,person_name,person_name; truncated_fragment
Full Stack Developer Roles & Skills,Tools: Git,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1847,6,1,0.0,0,tool_fragment,tool_fragment; lab_or_project_course
Implement Insert,Implement Prim’s and Kruskal’s algorithms,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1442,7,1,0.1429,0,person_name,person_name; publisher_citation; lab_or_project_course
Choosing the right DevOps tools and challenges,in DevOps Implementation. Mapping App to,2165113,Agile Software,SEM-V.pdf,0.332,1,1,0.0833,1,truncated_fragment,truncated_fragment
Reject ARQ (Simple Problems),(Simple Problems on throughput),2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2417,5,1,0.3333,1,subject_mismatch,subject_mismatch
"Linear Algebra, Vectors, Probability and statistics, Programming Concepts",Multi-class SVMs,2166111,Machine,SEM-V.pdf,0.3253,6,1,0.0,1,publisher_citation,publisher_citation
"the same way as tail, except that safetail maps the",Haskell code to represent infinite list e.g,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1377,10,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
connecting smart devices,"Fi) communication technologies based on range, power, and topology",2166121,Internet of Things,SEM-V.pdf,0.3241,2,1,0.0,1,truncated_fragment,truncated_fragment
making and automation using AI agents in,Text Books,2166118,Blockchain,SEM-V.pdf,0.1787,5,1,0.0,0,truncated_fragment,truncated_fragment
"detection, and performance optimization, AI","Andreas M. Antonopoulos & Dr. Gavin Wood, “Mastering Ethereum: Building Smart",2166118,Blockchain,SEM-V.pdf,0.185,12,1,0.0,0,publisher_citation,publisher_citation
"empty list to the empty list, whereas tail gives an",error in this case. Define safetail using: (a) a,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2105,1,1,0.0,1,lab_or_project_course,lab_or_project_course
natural numbers that use a predefined add function,Haskell code to represent infinite list e.g,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3348,1,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
Associate Dean,Prof. Shivram S. Garje,2166126,Blockchain,SEM-V.pdf,0.2208,2,1,0.0,1,publisher_citation,publisher_citation; person_name
Bootstrap Introduction & Components: Get started with Bootstrap,utilizing grid systems and essential components like headers,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3611,1,1,0.0769,1,lab_or_project_course,lab_or_project_course
Natural Language Processing (NLP),Applications and,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2671,8,1,0.0,0,truncated_fragment,truncated_fragment
solution in consultation with the guide/ supervisor,Students shall convert the best solution into a working model using various components of their domain areas and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2614,1,1,0.087,1,length_bound,length_bound; admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
Question Paper will comprise of a total of six questions each carrying 15  marks. Q.1,A total of Four questions need to be answered,2165113,Agile Software,SEM-V.pdf,0.5359,5,1,0.2,1,admin_rubric_noise,admin_rubric_noise
Running your first Spring Boot application,controller methods,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1035,6,1,0.0,0,lab_or_project_course,lab_or_project_course
based system using functions only (no classes),Query relationships dynamically,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1275,5,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Tutorial on Introduction to Haskell programming,"empty list to the empty list, whereas tail gives an",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1553,8,1,0.0769,0,lab_or_project_course,lab_or_project_course
Q2: What is the role of MSPs in Hyperledger Fabric?,Q2: Explain the double spending problem in blockchain,2166126,Blockchain,SEM-V.pdf,0.2405,4,1,0.2,0,admin_rubric_noise,admin_rubric_noise
understand query execution using the backward,Concurrency and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2847,1,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
"Fi) communication technologies based on range, power, and topology",Develop a short report on MQTT or CoAP protocol implementation for IoT data,2166121,Internet of Things,SEM-V.pdf,0.3451,1,1,0.0476,1,truncated_fragment,truncated_fragment
Self-learning Topics: Various Network Performance,Designing basic edge and fog architectures for,2166124,Edge Computing,SEM-V.pdf,0.1492,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
At least Two Programming Implementations,Students should understand checked and unchecked,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0527,8,1,0.0,0,person_name,person_name; admin_rubric_noise; lab_or_project_course
Cloud Data Logging using Raspberry Pi and ThingSpeak,Any application of Blynk App,2166121,Internet of Things,SEM-V.pdf,0.0983,3,1,0.0,0,tool_fragment,tool_fragment
on Binary Search Tree and analyze space and time,Implement solution for a 0-1 knapsack problem using,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1534,3,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Operating Systems,Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.9391,7,1,0.3333,1,generic_lone_term,generic_lone_term
Write a recursive function to multiply two,Tutorial on working of SWI Prolog Environment,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0842,8,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
o Proposed final solution,Collection of Dataset,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.059,13,1,0.0,0,lab_or_project_course,lab_or_project_course
"Blockchain, UTXO and double spending problem",Blockchain and,2166118,Blockchain,SEM-V.pdf,0.4863,6,1,0.3333,1,truncated_fragment,truncated_fragment
and basic understanding of facts and rules,Implement at least,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2049,1,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
in DevOps Implementation. Mapping App to,"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”",2165113,Agile Software,SEM-V.pdf,0.2421,10,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
Ethernet Protocol,Self-Study Topics,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0185,5,1,0.0,0,generic_lone_term,generic_lone_term; admin_rubric_noise
Implementation of randomized quicksort algorithm and,Implementation of operations on B/B+-trees,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2917,11,1,0.2,0,truncated_fragment,truncated_fragment; lab_or_project_course
web pages,form elements (text fields,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1713,3,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
"handling and Garbage collection, preferably in",exceptions as well as using multiple catch blocks,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2826,2,1,0.0,1,person_name,person_name; truncated_fragment; subject_mismatch; lab_or_project_course
applications of full stack,Introduction to Java EE- Need for Java EE in enterprise applications,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2656,7,1,0.0833,0,lab_or_project_course,lab_or_project_course
View: User interface,Spring Boot: Modern development trends. MVC in Java Web,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2828,3,1,0.0,0,lab_or_project_course,lab_or_project_course
b. Traffic Light Simulation (JavaScript + HTML/CSS),Events for light changes,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4237,1,1,0.1,1,lab_or_project_course,lab_or_project_course
"Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison","DevOps: Dive, , Packt, 2018",2165113,Agile Software,SEM-V.pdf,0.2648,2,1,0.0,1,publisher_citation,publisher_citation
"learning implementation of concurrency, Streams",guide/supervisor can verify and record notes/comments,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2497,10,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
"Depth: Learn, Build and Deploy Blockchain","Applications Using Hyperledger Fabric”, BPB Publications",2166118,Blockchain,SEM-V.pdf,0.2546,1,1,0.0,1,publisher_citation,publisher_citation
"Use OOP to model Users, Transactions, and Categories",Do List Manager (Scala or Elixir),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3348,6,1,0.0,1,lab_or_project_course,lab_or_project_course
standardization techniques,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.1108,2,1,0.0,0,lab_or_project_course,lab_or_project_course
Term Work,"The progress of the mini project to be evaluated on continuous basis, minimum two reviews in each semester",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3053,2,1,0.0,1,person_name,person_name; admin_rubric_noise; length_bound; lab_or_project_course
o Marks awarded by guide/supervisor for Capstone Project Completion,"Second shall be for the implementation, testing and validation of solution",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1771,11,1,0.05,0,subject_mismatch,subject_mismatch; lab_or_project_course
and working with tables,form elements (text fields,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1884,10,1,0.0,0,person_name,person_name; truncated_fragment; lab_or_project_course
"and Benefits, DevOps Principles and Practices",Assessment. Study of various Open,2165113,Agile Software,SEM-V.pdf,0.1646,5,1,0.0,0,truncated_fragment,truncated_fragment
Version Control with Git,Mapping HTTP methods to,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0365,13,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Report should be prepared as per the guidelines issued by the University of Mumbai,experience of more than five years approved by head of Institution,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2467,2,1,0.0952,1,publisher_citation,publisher_citation; subject_mismatch; lab_or_project_course
understand declarative programming concepts,"Students should do the survey and identify needs, which shall be converted into a problem statement for the mini",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2541,13,1,0.0,0,length_bound,length_bound; admin_rubric_noise; lab_or_project_course
Implement N-Queen's problem using Back Tracking,Implement Naïve string matching algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.206,11,1,0.0833,0,lab_or_project_course,lab_or_project_course
Implement Insert,Search and Display operations,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2287,1,1,0.0,1,person_name,person_name; lab_or_project_course
Replacement Algorithms,Self-learning Topics: File System for Linux and,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2297,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
List of Experiments,ThingSpeak Cloud. OR on AWS cloud,2166121,Internet of Things,SEM-V.pdf,0.1093,12,1,0.0,0,admin_rubric_noise,admin_rubric_noise; tool_fragment
At least Four Haskell Programs to demonstrate,Order Functions,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2025,11,1,0.0,0,person_name,person_name; lab_or_project_course
Self-learning Topics: Modes of Operation for,Self-learning Topics: Tools Used for Ethical,2166114,Security,SEM-V.pdf,0.715,6,1,0.4,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
"David J. Anderson and Eli Schragenheim, ―Agile Management for Software",Website Name,2165113,Agile Software,SEM-V.pdf,0.1112,6,1,0.0,0,publisher_citation,publisher_citation; person_name
Time Division,Go-Back-N ARQ,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1558,11,1,0.0,0,truncated_fragment,truncated_fragment
Report should be prepared as per the guidelines issued by the University of Mumbai,b. Online Food Ordering System (Console,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1396,10,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment; lab_or_project_course
Guidelines for Capstone Mini,"Students shall form a group of 3 to 4 students, and a group shall not be allowed less than three or more than four",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1194,1,1,0.0,0,length_bound,length_bound; admin_rubric_noise; subject_mismatch; lab_or_project_course
"Implement inheritance for different types of users (students, staff)",Functional Programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.161,7,1,0.0,0,lab_or_project_course,lab_or_project_course
Tutorial on Introduction to Haskell programming,(b) guarded equations,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2357,11,1,0.0,0,lab_or_project_course,lab_or_project_course
the execution of the Functional Implementation,understand query execution using the backward,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2769,10,1,0.2222,0,truncated_fragment,truncated_fragment; lab_or_project_course
and NSGA-III mechanisms,Edge resource optimization,2166115,Nature-,SEM-V.pdf,0.0489,10,1,0.0,0,person_name,person_name; truncated_fragment
probability distribution and probability density function,"study topics. However, students are",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0262,8,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Avoid mutable data,Do List Manager (Scala or Elixir),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2114,2,1,0.0,1,lab_or_project_course,lab_or_project_course
"role of sensors, actuators, and IoT boards such as Arduino, NodeMCU, and",Raspberry Pi in IoT systems,2166121,Internet of Things,SEM-V.pdf,0.4652,1,1,0.0667,1,tool_fragment,tool_fragment; truncated_fragment
Blockchain and,"Contract Lifecycle (Dev, Audit, Test, Docs)",2166118,Blockchain,SEM-V.pdf,0.1705,12,1,0.0,0,truncated_fragment,truncated_fragment; person_name
solution in consultation with the guide/ supervisor,The solution to be validated with proper justification and a report to be compiled in a standard format of the,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3654,2,1,0.2105,1,length_bound,length_bound; truncated_fragment; lab_or_project_course
